cells	cell_sizes	mc	median_mc_cell_size	total_mc_umis	total_mc_cells
WSETLV0001384	269	4	302	20392	56
WSETLV0002001	532	16	710.5	24235	32
WSETLV0002004	1760	10	857.5	88011	78
WSETLV0002005	311	45	476	24171	43
WSETLV0002006	325	19	762	74309	85
WSETLV0002008	451	38	914.5	77933	80
WSETLV0002009	498	16	710.5	24235	32
WSETLV0002011	1799	19	762	74309	85
WSETLV0002012	396	15	398	29634	68
WSETLV0002014	1289	38	914.5	77933	80
WSETLV0002015	938	38	914.5	77933	80
WSETLV0002016	387	12	541	35705	54
WSETLV0002017	5064	6	1662	162158	87
WSETLV0002018	633	14	767	47027	53
WSETLV0002019	219	42	449	33724	35
WSETLV0002020	400	15	398	29634	68
WSETLV0002021	1402	10	857.5	88011	78
WSETLV0002022	557	47	478	71014	125
WSETLV0002023	604	40	639	56324	74
WSETLV0002024	451	24	765.5	22537	24
WSETLV0002025	1163	23	459	36891	71
WSETLV0002026	2184	38	914.5	77933	80
WSETLV0002027	2025	29	1001	78394	57
WSETLV0002029	876	18	711	50449	57
WSETLV0002031	2287	10	857.5	88011	78
WSETLV0002032	2718	14	767	47027	53
WSETLV0002035	796	13	737.5	75624	86
WSETLV0002036	801	28	1192	140861	98
WSETLV0002037	625	32	610.5	60613	80
WSETLV0002039	1348	33	819	103650	100
WSETLV0002040	1007	38	914.5	77933	80
WSETLV0002042	410	31	931	57903	51
WSETLV0002044	245	23	459	36891	71
WSETLV0002045	850	14	767	47027	53
WSETLV0002046	983	45	476	24171	43
WSETLV0002047	1047	38	914.5	77933	80
WSETLV0002048	379	18	711	50449	57
WSETLV0002049	271	21	578	46864	71
WSETLV0002050	925	35	787	93532	97
WSETLV0002051	855	8	1331	97851	64
WSETLV0002052	597	19	762	74309	85
WSETLV0002054	4650	6	1662	162158	87
WSETLV0002055	976	19	762	74309	85
WSETLV0002056	189	43	489.5	15204	22
WSETLV0002057	408	39	371.5	41857	90
WSETLV0002058	903	47	478	71014	125
WSETLV0002059	411	20	526	82284	108
WSETLV0002061	564	17	844	84811	80
WSETLV0002063	459	23	459	36891	71
WSETLV0002064	682	35	787	93532	97
WSETLV0002065	1022	32	610.5	60613	80
WSETLV0002066	1126	32	610.5	60613	80
WSETLV0002067	1602	18	711	50449	57
WSETLV0002068	570	19	762	74309	85
WSETLV0002069	445	21	578	46864	71
WSETLV0002071	3397	30	1212	130854	96
WSETLV0002073	1485	38	914.5	77933	80
WSETLV0002075	1515	31	931	57903	51
WSETLV0002077	513	13	737.5	75624	86
WSETLV0002078	426	18	711	50449	57
WSETLV0002079	3679	8	1331	97851	64
WSETLV0002082	370	39	371.5	41857	90
WSETLV0002085	1092	31	931	57903	51
WSETLV0002086	3312	10	857.5	88011	78
WSETLV0002087	3662	30	1212	130854	96
WSETLV0002090	572	32	610.5	60613	80
WSETLV0002091	1599	17	844	84811	80
WSETLV0002092	1889	19	762	74309	85
WSETLV0002094	450	23	459	36891	71
WSETLV0002096	510	38	914.5	77933	80
WSETLV0002100	592	38	914.5	77933	80
WSETLV0002101	371	24	765.5	22537	24
WSETLV0002102	1532	7	1204	128168	80
WSETLV0002103	1395	19	762	74309	85
WSETLV0002105	327	12	541	35705	54
WSETLV0002107	1492	34	1067	121013	101
WSETLV0002109	533	47	478	71014	125
WSETLV0002111	1340	14	767	47027	53
WSETLV0002113	1469	19	762	74309	85
WSETLV0002115	816	12	541	35705	54
WSETLV0002117	470	14	767	47027	53
WSETLV0002118	1530	27	941.5	70842	60
WSETLV0002119	383	39	371.5	41857	90
WSETLV0002120	246	15	398	29634	68
WSETLV0002121	2096	10	857.5	88011	78
WSETLV0002122	1126	47	478	71014	125
WSETLV0002125	350	41	358	5907	15
WSETLV0002126	332	19	762	74309	85
WSETLV0002127	2243	31	931	57903	51
WSETLV0002128	422	13	737.5	75624	86
WSETLV0002130	2253	38	914.5	77933	80
WSETLV0002132	507	20	526	82284	108
WSETLV0002133	312	17	844	84811	80
WSETLV0002135	3910	28	1192	140861	98
WSETLV0002136	1459	22	662	29192	38
WSETLV0002137	1898	40	639	56324	74
WSETLV0002140	949	10	857.5	88011	78
WSETLV0002141	416	23	459	36891	71
WSETLV0002143	1838	47	478	71014	125
WSETLV0002144	2266	18	711	50449	57
WSETLV0002145	711	18	711	50449	57
WSETLV0002147	508	19	762	74309	85
WSETLV0002148	1984	22	662	29192	38
WSETLV0002151	1126	47	478	71014	125
WSETLV0002152	404	18	711	50449	57
WSETLV0002153	716	47	478	71014	125
WSETLV0002154	1420	21	578	46864	71
WSETLV0002156	2920	31	931	57903	51
WSETLV0002159	2218	29	1001	78394	57
WSETLV0002160	476	23	459	36891	71
WSETLV0002161	329	31	931	57903	51
WSETLV0002162	788	18	711	50449	57
WSETLV0002164	304	36	783.5	35009	40
WSETLV0002165	190	42	449	33724	35
WSETLV0002166	1083	35	787	93532	97
WSETLV0002167	267	1	719	47160	43
WSETLV0002168	1456	7	1204	128168	80
WSETLV0002169	896	14	767	47027	53
WSETLV0002170	207	15	398	29634	68
WSETLV0002171	429	18	711	50449	57
WSETLV0002172	1163	47	478	71014	125
WSETLV0002173	201	19	762	74309	85
WSETLV0002174	614	12	541	35705	54
WSETLV0002175	752	38	914.5	77933	80
WSETLV0002176	4624	6	1662	162158	87
WSETLV0002178	2018	24	765.5	22537	24
WSETLV0002180	707	40	639	56324	74
WSETLV0002182	3545	35	787	93532	97
WSETLV0002185	679	11	333.5	19598	52
WSETLV0002186	360	20	526	82284	108
WSETLV0002187	993	38	914.5	77933	80
WSETLV0002191	309	4	302	20392	56
WSETLV0002192	673	47	478	71014	125
WSETLV0002193	225	39	371.5	41857	90
WSETLV0002195	246	15	398	29634	68
WSETLV0002197	891	10	857.5	88011	78
WSETLV0002199	623	7	1204	128168	80
WSETLV0002200	740	15	398	29634	68
WSETLV0002201	805	45	476	24171	43
WSETLV0002202	193	46	323	18263	35
WSETLV0002203	633	47	478	71014	125
WSETLV0002204	259	25	422.5	18412	40
WSETLV0002205	543	2	686	52725	63
WSETLV0002206	899	10	857.5	88011	78
