cell	UMI_per_cell	total_reads	total_mapped	gene_mapped	mapped_reads_per_UMI
WASP0002019	417	5323	2153	999	5.16306954436451
WASP0002024	605	8730	3324	1508	5.49421487603306
WASP0002025	1417	19503	9146	4314	6.454481298518
WASP0002026	776	16146	4498	1986	5.79639175257732
WASP0002028	1158	22277	6679	2987	5.76770293609672
WASP0002029	3702	76342	33263	15239	8.98514316585629
WASP0002030	2471	43174	16671	7489	6.74666127074059
WASP0002031	2706	48797	16939	7617	6.25979305247598
WASP0002033	956	12909	5392	2471	5.64016736401674
WASP0002034	417	5489	2158	997	5.17505995203837
WASP0002035	306	4825	1458	669	4.76470588235294
WASP0002036	438	6311	2444	1141	5.57990867579909
WASP0002038	1235	18810	7769	3563	6.29068825910931
WASP0002039	744	14254	4244	1920	5.70430107526882
WASP0002041	278	2940	957	438	3.44244604316547
WASP0002042	1166	15950	8138	3714	6.97941680960549
WASP0002043	3041	57435	26882	12149	8.83985531075304
WASP0002044	1784	25302	11410	5275	6.3957399103139
WASP0002045	463	7339	2334	1059	5.04103671706264
WASP0002046	4720	88092	32066	14546	6.79364406779661
WASP0002048	7397	135450	53364	24141	7.2142760578613
WASP0002049	291	3311	1315	613	4.51890034364261
WASP0002050	583	7879	3238	1490	5.55403087478559
WASP0002051	2735	43925	17914	8323	6.54990859232176
WASP0002052	1759	22606	11862	5483	6.74360432063673
WASP0002054	1808	23246	12280	5668	6.79203539823009
WASP0002055	1520	23004	10375	4727	6.82565789473684
WASP0002056	1524	21151	10040	4708	6.58792650918635
WASP0002057	2654	38704	17919	8319	6.75169555388094
WASP0002058	281	6888	1307	603	4.65124555160142
WASP0002059	1265	24425	8500	3820	6.71936758893281
WASP0002060	207	2264	720	325	3.47826086956522
WASP0002062	286	2822	2218	1025	7.75524475524476
WASP0002063	501	6953	2660	1245	5.30938123752495
WASP0002064	548	8598	3241	1492	5.91423357664234
WASP0002067	1175	15388	7215	3362	6.14042553191489
WASP0002068	544	7877	2966	1359	5.45220588235294
WASP0002069	2263	31319	13843	6455	6.1171011931065
WASP0002070	695	7600	3899	1835	5.61007194244604
WASP0002071	1080	21244	6762	3071	6.26111111111111
WASP0002072	1976	31385	14248	6618	7.21052631578947
WASP0002073	810	10675	4509	2055	5.56666666666667
WASP0002074	648	8479	3777	1751	5.8287037037037
WASP0002075	1149	16556	7210	3287	6.27502175805048
WASP0002076	987	14277	6396	2969	6.48024316109423
WASP0002077	644	9044	3431	1599	5.3276397515528
WASP0002078	424	4808	2506	1173	5.91037735849057
WASP0002079	563	8847	3392	1531	6.02486678507993
WASP0002080	1895	40618	13859	6129	7.31345646437995
WASP0002081	555	9037	3016	1402	5.43423423423423
WASP0002083	2795	40929	18674	8770	6.68121645796064
WASP0002084	1051	12089	6985	3165	6.64605137963844
WASP0002086	680	8183	4348	1984	6.39411764705882
WASP0002087	475	5588	2531	1176	5.32842105263158
WASP0002088	3127	45056	21765	10110	6.96034537895747
WASP0002089	2088	27551	14065	6479	6.73611111111111
WASP0002090	4173	69658	30907	14231	7.40642223819794
WASP0002091	1845	25656	11629	5462	6.3029810298103
WASP0002092	1619	24084	18327	8573	11.319950586782
WASP0002093	1191	15167	7785	3635	6.53652392947103
WASP0002094	3523	58705	24974	11448	7.08884473460119
WASP0002097	551	8165	3051	1397	5.53720508166969
WASP0002098	485	7384	2782	1271	5.7360824742268
WASP0002099	187	2375	702	320	3.75401069518717
WASP0002100	1052	17581	6044	2746	5.74524714828897
WASP0002102	1312	17862	8591	3911	6.54801829268293
WASP0002103	1365	30194	8241	3511	6.03736263736264
WASP0002104	4106	72450	27195	12208	6.62323429128105
WASP0002105	1745	30588	11825	5435	6.77650429799427
WASP0002107	559	9005	3322	1521	5.94275491949911
WASP0002108	2417	50464	16433	7322	6.79892428630534
WASP0002109	1121	18051	6779	3037	6.04727921498662
WASP0002110	1102	16221	6288	2879	5.7059891107078
WASP0002111	1627	28399	9920	4518	6.09711124769514
WASP0002112	821	10215	5044	2366	6.14372716199756
WASP0002113	349	4030	1925	903	5.51575931232092
WASP0002114	965	18086	6316	2791	6.54507772020725
WASP0002115	2996	54493	19275	8756	6.43357810413885
WASP0002116	3609	74295	23451	10413	6.49792186201164
WASP0002117	1007	18513	6325	2899	6.28103277060576
WASP0002119	1344	23107	9479	4259	7.05282738095238
WASP0002123	400	5078	2276	1065	5.69
WASP0002124	2968	55121	19711	8957	6.64117250673855
WASP0002128	4107	72692	26789	12143	6.5227660092525
WASP0002129	1437	25522	10002	4484	6.96033402922756
WASP0002130	2062	35130	13766	6198	6.67604267701261
WASP0002132	7926	203878	56084	24960	7.07595256119102
WASP0002134	615	8599	3112	1414	5.06016260162602
WASP0002135	2819	46596	19209	8802	6.81411848173111
WASP0002136	611	6628	4056	1907	6.63829787234043
WASP0002137	869	16591	5781	2600	6.65247410817031
WASP0002138	913	14047	5842	2640	6.3986856516977
WASP0002139	917	12921	5733	2563	6.25190839694657
WASP0002140	2068	31704	13903	6345	6.72292069632495
WASP0002141	331	4592	1963	926	5.93051359516616
WASP0002142	4904	75536	37532	17584	7.65334420880914
WASP0002143	285	2790	1057	492	3.70877192982456
WASP0002144	545	8387	2818	1299	5.17064220183486
WASP0002145	1014	16330	6376	2793	6.2879684418146
WASP0002146	879	20786	5407	2403	6.15130830489192
WASP0002147	459	6002	2443	1121	5.32244008714597
WASP0002148	1122	18584	8048	3641	7.1729055258467
WASP0002149	1114	19069	6331	2789	5.68312387791741
WASP0002150	405	3901	2174	1009	5.3679012345679
WASP0002151	1284	19631	7812	3587	6.08411214953271
WASP0002153	1984	32322	13416	6151	6.76209677419355
WASP0002154	1905	32357	13159	6060	6.90761154855643
WASP0002155	1464	23324	9754	4495	6.66256830601093
WASP0002156	2847	49276	20509	9393	7.20372321742185
WASP0002159	2307	31707	14831	6966	6.42869527524924
WASP0002160	581	8931	3856	1781	6.6368330464716
WASP0002161	363	7469	2104	976	5.79614325068871
WASP0002163	872	11327	5117	2312	5.86811926605505
WASP0002164	472	5453	2734	1261	5.79237288135593
WASP0002166	3435	44774	24828	11559	7.22794759825328
WASP0002167	807	17288	4591	2032	5.68897149938042
WASP0002169	1311	21569	8233	3766	6.27993897787948
WASP0002171	236	3195	1250	570	5.29661016949153
WASP0002172	2986	52026	21779	9945	7.29370395177495
WASP0002173	581	8698	3107	1425	5.34767641996558
WASP0002174	198	2757	987	433	4.98484848484848
WASP0002175	1030	11027	6056	2855	5.87961165048544
WASP0002177	487	7258	2804	1299	5.75770020533881
WASP0002178	910	11962	5773	2624	6.34395604395604
WASP0002179	385	7876	1876	815	4.87272727272727
WASP0002180	2293	29636	15757	7435	6.87178368948975
WASP0002181	611	8473	3910	1846	6.39934533551555
WASP0002183	701	9799	4714	2188	6.7246790299572
WASP0002184	396	5290	2272	1060	5.73737373737374
WASP0002185	850	12633	5250	2402	6.17647058823529
WASP0002186	1060	14149	6817	3129	6.4311320754717
WASP0002188	1214	13898	7618	3549	6.27512355848435
WASP0002190	476	6221	2510	1161	5.27310924369748
WASP0002191	2282	26015	14444	6828	6.32953549517967
WASP0002192	511	6568	3025	1383	5.91976516634051
WASP0002193	524	12721	4090	1878	7.80534351145038
WASP0002194	4446	138839	48020	21655	10.8007197480882
WASP0002195	2104	67010	23399	10425	11.1211977186312
WASP0002196	1665	36203	18544	8484	11.1375375375375
WASP0002197	1343	43001	14471	6490	10.7751303052867
WASP0002198	3199	108463	35868	15863	11.2122538293217
WASP0002199	1204	40307	8870	3600	7.3671096345515
WASP0002200	642	17892	5998	2719	9.34267912772586
WASP0002201	1192	29971	12454	5649	10.4479865771812
WASP0002202	708	23564	7073	3222	9.99011299435028
WASP0002203	2825	94188	31777	14495	11.2484955752212
WASP0002204	733	20028	7132	3262	9.72987721691678
WASP0002205	986	36234	6713	2683	6.80831643002028
WASP0002207	927	25603	9216	4098	9.94174757281553
WASP0002208	4920	201384	55333	23668	11.2465447154472
WASP0002211	2882	85190	32961	14929	11.4368494101319
WASP0002212	1183	24784	13398	6256	11.3254437869822
WASP0002213	717	19792	7346	3324	10.2454672245467
WASP0002214	5328	189598	63067	28343	11.8368993993994
WASP0002215	466	11027	4454	1998	9.55793991416309
WASP0002216	971	27084	9201	4184	9.47579814624099
WASP0002217	632	20127	4780	2160	7.56329113924051
WASP0002218	1071	21819	11978	5410	11.1839402427638
WASP0002219	1289	36370	12802	5648	9.93173002327386
WASP0002221	865	27724	9906	4531	11.4520231213873
WASP0002223	711	22723	6946	3064	9.76933895921238
WASP0002224	2424	70328	29863	12887	12.3197194719472
WASP0002225	1017	22668	11051	5023	10.866273352999
WASP0002227	464	9812	4103	1868	8.8426724137931
WASP0002228	236	5475	1445	637	6.1228813559322
WASP0002229	712	15386	7099	3258	9.97050561797753
WASP0002230	2456	73819	28754	13315	11.707654723127
WASP0002231	354	9587	2512	1124	7.09604519774011
WASP0002232	4424	123800	53798	24541	12.1604882459313
WASP0002233	450	10564	4403	2003	9.78444444444444
WASP0002234	2610	68234	28879	13177	11.0647509578544
WASP0002235	1518	43789	18538	8475	12.2121212121212
WASP0002236	4930	213131	74236	34232	15.0580121703854
WASP0002237	3153	102523	41645	19039	13.2080558198541
WASP0002238	498	11936	4624	2043	9.285140562249
WASP0002240	5414	157260	63545	28812	11.7371629109716
WASP0002241	546	10769	5051	2317	9.25091575091575
WASP0002242	1983	42686	26991	12360	13.6111951588502
WASP0002244	1066	34304	10499	4698	9.84896810506567
WASP0002245	825	20354	7924	3711	9.60484848484849
WASP0002246	5495	149364	65066	29495	11.8409463148317
WASP0002247	405	9685	3249	1477	8.02222222222222
WASP0002248	3596	151223	38906	17063	10.8192436040044
WASP0002249	689	17437	7712	3545	11.1930333817126
WASP0002250	1272	35584	14416	6749	11.3333333333333
WASP0002251	673	19735	6722	3034	9.98811292719168
WASP0002252	3052	99768	34057	15288	11.1589121887287
WASP0002253	711	17729	6783	3070	9.54008438818565
WASP0002255	1832	51337	24130	10793	13.1713973799127
WASP0002256	2814	73070	35272	15965	12.5344705046198
WASP0002257	4741	124562	64399	29980	13.5834212191521
WASP0002258	1008	22469	9947	4620	9.86805555555556
WASP0002259	580	16607	4327	1828	7.46034482758621
WASP0002261	854	16401	7562	3464	8.85480093676815
WASP0002262	1007	18906	11476	5374	11.3962264150943
WASP0002266	1361	36794	15129	6981	11.1160911094783
WASP0002267	3083	91198	37085	16764	12.0288679857282
WASP0002268	605	15668	5779	2610	9.55206611570248
WASP0002269	3370	106901	39347	17740	11.6756676557864
WASP0002270	3665	98999	41080	18521	11.2087312414734
WASP0002271	984	27019	9957	4504	10.1189024390244
WASP0002272	892	33458	7018	3000	7.86771300448431
WASP0002273	483	9446	4905	2309	10.1552795031056
WASP0002274	421	10142	2971	1371	7.05700712589074
WASP0002275	980	23011	11190	5230	11.4183673469388
WASP0002276	938	17835	11427	5433	12.182302771855
WASP0002277	603	14252	6604	3064	10.9519071310116
WASP0002278	1409	31551	16908	7888	12
