cell	UMI_per_cell	total_reads	total_mapped	gene_mapped	mapped_reads_per_UMI
WASP0038369	1130	19265	8825	3928	7.80973451327434
WASP0038370	2688	79048	62996	29965	23.4360119047619
WASP0038371	1440	49084	31529	14980	21.8951388888889
WASP0038372	504	11960	5181	2230	10.2797619047619
WASP0038373	2087	50495	45875	21636	21.9813128893148
WASP0038374	1674	35498	38905	18209	23.2407407407407
WASP0038375	1714	44640	49890	23687	29.1073512252042
WASP0038376	711	10295	6002	2566	8.44163150492264
WASP0038377	671	29690	10155	4589	15.1341281669151
WASP0038378	796	28926	11942	5314	15.0025125628141
WASP0038379	357	9196	4997	2166	13.9971988795518
WASP0038381	576	15278	7967	3434	13.8315972222222
WASP0038382	465	6758	4284	1758	9.21290322580645
WASP0038383	438	9214	6227	2777	14.216894977169
WASP0038384	835	18543	7884	3088	9.44191616766467
WASP0039001	1397	79411	27126	12537	19.4173228346457
WASP0039002	5043	174125	100547	47419	19.9379337695816
WASP0039003	1414	47705	21613	9982	15.2850070721358
WASP0039004	388	36563	3497	1378	9.01288659793815
WASP0039005	465	57768	3818	1427	8.21075268817204
WASP0039006	697	13594	7172	3319	10.2898134863702
WASP0039007	3883	146270	91286	43243	23.509142415658
WASP0039008	322	11707	3183	1278	9.88509316770186
WASP0039009	439	10179	7286	3295	16.5968109339408
WASP0039010	2028	58141	38897	18009	19.1799802761341
WASP0039011	2897	88183	62704	27516	21.6444597859855
WASP0039012	2257	78530	42196	19337	18.6956136464333
WASP0039013	1586	265286	24212	10583	15.266078184111
WASP0039014	862	145930	8330	3260	9.66357308584687
WASP0039015	2370	141489	43298	20075	18.2691983122363
WASP0039016	3021	145818	60016	27717	19.8662694472029
WASP0039018	1633	105400	32081	14895	19.6454378444581
WASP0039019	1681	108297	33707	14217	20.051754907793
WASP0039020	1945	66816	35250	16509	18.1233933161954
WASP0039021	5258	169890	127630	58980	24.2734880182579
WASP0039022	1649	42049	18878	8236	11.4481503941783
WASP0039023	1584	43835	41439	19208	26.1609848484849
WASP0039024	622	13448	4720	2099	7.58842443729904
WASP0039025	879	16617	11156	5101	12.6916951080774
WASP0039026	2586	89947	57526	27273	22.2451662799691
WASP0039027	1104	32026	11855	5287	10.7382246376812
WASP0039028	833	20722	6184	2466	7.42376950780312
WASP0039029	1630	77263	25566	11694	15.6846625766871
WASP0039030	1509	51612	22517	10436	14.921802518224
WASP0039031	2418	105238	44776	20763	18.5177832919768
WASP0039032	905	130152	9674	3994	10.6895027624309
WASP0039033	6121	183570	133320	63001	21.7807547786309
WASP0039034	643	14949	5470	2430	8.50699844479005
WASP0039035	1312	45294	23504	10834	17.9146341463415
WASP0039036	1222	33365	21397	9951	17.5098199672668
WASP0039037	2217	446966	50775	22704	22.9025710419486
WASP0039038	4733	204011	104044	48803	21.9826748362561
WASP0039039	1278	93141	13942	5953	10.9092331768388
WASP0039040	1227	11935	7106	2989	5.79136104319478
WASP0039041	1081	23745	22618	10507	20.9232192414431
WASP0039042	2370	200517	46651	21523	19.6839662447257
WASP0039043	2150	62881	43765	20582	20.3558139534884
WASP0039044	1330	43258	21799	9985	16.3902255639098
WASP0039045	729	53025	10595	4726	14.5336076817558
WASP0039046	937	44828	5134	1964	5.47918890074707
WASP0039047	1874	80217	34226	15157	18.2636072572038
WASP0039048	1308	42719	13781	6218	10.5359327217125
WASP0039049	388	7767	2611	1070	6.72938144329897
WASP0039050	2256	86840	56974	26563	25.2544326241135
WASP0039051	2651	148441	48471	21699	18.2840437570728
WASP0039052	1284	44371	30372	14343	23.6542056074766
WASP0039053	1422	303491	25845	11164	18.1751054852321
WASP0039054	1001	30032	14131	6575	14.1168831168831
WASP0039055	955	32465	13774	6244	14.4230366492147
WASP0039056	1609	48301	33005	15301	20.5127408328154
WASP0039057	1386	28405	13579	6129	9.7972582972583
WASP0039058	1251	46327	23040	10751	18.4172661870504
WASP0039059	697	10741	3930	1749	5.63845050215208
WASP0039060	928	23913	17516	8280	18.875
WASP0039062	686	36507	8035	3440	11.7128279883382
WASP0039063	754	35569	7500	3225	9.94694960212202
WASP0039064	3263	128902	65835	30890	20.1762182041067
WASP0039066	2358	122466	45830	20111	19.4359626802375
WASP0039067	1067	40099	15907	7269	14.9081537019681
WASP0039068	1985	55969	54582	25419	27.4972292191436
WASP0039069	2798	79138	77060	35806	27.5411007862759
WASP0039070	1257	45472	29157	13810	23.1957040572792
WASP0039071	1138	27407	15428	7097	13.5571177504394
WASP0039072	1240	34849	21239	10006	17.1282258064516
WASP0039073	487	12789	6783	2963	13.9281314168378
WASP0039074	2522	76284	52314	24409	20.7430610626487
WASP0039075	757	24360	12753	5936	16.8467635402906
WASP0039076	1139	29693	22836	10550	20.0491659350307
WASP0039077	3845	371722	94153	43838	24.4871261378414
WASP0039078	1572	50288	37439	17311	23.8161577608143
WASP0039079	2688	80990	62439	29614	23.2287946428571
WASP0039080	2186	72506	52105	24700	23.8357731015554
WASP0039081	562	24447	9097	4033	16.1868327402135
WASP0039082	2882	96269	78747	35513	27.32373351839
WASP0039083	667	20965	11956	5550	17.9250374812594
WASP0039084	1842	131072	40464	18710	21.9674267100977
WASP0039085	4831	341515	141050	67013	29.1968536534879
WASP0039086	7318	184951	199864	95846	27.31128723695
WASP0039087	1475	46740	32773	15332	22.2189830508475
WASP0039088	2226	137196	57658	25118	25.9020664869722
WASP0039089	480	14471	8654	3818	18.0291666666667
WASP0039090	1949	281593	44525	20198	22.8450487429451
WASP0039091	1907	97889	45382	21121	23.7975878342947
WASP0039092	1797	37241	38457	17860	21.4006677796327
WASP0039093	1803	163246	43280	19759	24.0044370493622
WASP0039094	557	16534	11303	5205	20.2926391382406
WASP0039095	616	38697	6762	3029	10.9772727272727
WASP0039096	1179	30565	31656	14636	26.8498727735369
WASP0039097	772	12888	7313	3313	9.47279792746114
WASP0039098	4769	174379	109746	51817	23.0123715663661
WASP0039099	3929	143148	88268	41079	22.4657673708323
WASP0039100	1083	21994	14904	6830	13.7617728531856
WASP0039101	371	9576	4489	1857	12.099730458221
WASP0039102	6461	204053	183073	87124	28.3350874477635
WASP0039103	1818	68678	37324	16748	20.5302530253025
WASP0039105	1158	31785	19423	9038	16.772884283247
WASP0039106	2571	73780	33405	15444	12.9929988331389
WASP0039107	3607	134081	69985	32628	19.4025505960632
WASP0039108	2098	86413	45619	20809	21.7440419447092
WASP0039109	2644	111681	47129	21257	17.8248865355522
WASP0039110	1657	40972	31838	14515	19.2142426071213
WASP0039112	684	10605	3433	1375	5.01900584795322
WASP0039113	791	31049	7213	3219	9.11883691529709
WASP0039114	3007	109139	57740	27025	19.2018623212504
WASP0039115	2774	67157	48081	22473	17.3327325162221
WASP0039116	1234	27813	10659	4841	8.63776337115073
WASP0039117	7387	247119	155767	73987	21.0866386895898
WASP0039118	2077	58334	38829	17996	18.6947520462205
WASP0039119	2300	60203	49262	23083	21.4182608695652
WASP0039120	464	10406	3260	1293	7.02586206896552
WASP0039121	634	11108	3858	1680	6.08517350157729
WASP0039122	1485	44241	25004	11436	16.8377104377104
WASP0039123	5059	186941	109142	51323	21.5738288199249
WASP0039124	2360	106050	40422	18213	17.1279661016949
WASP0039125	2722	68501	59019	27344	21.6822189566495
WASP0039126	1938	65547	30256	13390	15.6119711042312
WASP0039127	1393	39225	17758	7973	12.7480258435032
WASP0039128	1161	24866	10402	4681	8.95951765719208
WASP0039129	2046	62833	45171	21427	22.0777126099707
WASP0039130	2219	72101	40783	18852	18.3789995493466
WASP0039131	5110	145488	134515	60066	26.3238747553816
WASP0039132	1437	28399	15666	6904	10.901878914405
WASP0039133	2669	68637	42471	19569	15.912701386287
WASP0039134	2611	73123	42102	19601	16.1248563768671
WASP0039135	4089	121266	93504	44140	22.8672046955246
WASP0039136	4144	120043	104999	45699	25.3375965250965
WASP0039137	2489	75486	51693	24310	20.7685817597429
WASP0039138	3237	95075	80138	36166	24.7568736484399
WASP0039139	1738	46265	37669	17657	21.6737629459148
WASP0039140	4500	137207	105934	50600	23.5408888888889
WASP0039141	2559	103429	46132	20839	18.0273544353263
WASP0039142	1332	33370	26319	12248	19.759009009009
WASP0039143	767	29754	12146	5431	15.8357235984355
WASP0039144	1015	27090	14023	6486	13.815763546798
WASP0039145	1877	50254	38844	18248	20.6947256259989
WASP0039146	2858	64354	56460	24690	19.7550734779566
WASP0039147	4281	125597	99341	47479	23.2050922681616
WASP0039148	1041	28522	18583	8725	17.8511047070125
WASP0039149	2474	99328	54794	23960	22.1479385610348
WASP0039150	966	27687	20125	9144	20.8333333333333
WASP0039151	1760	82665	23382	10544	13.2852272727273
WASP0039152	3107	77016	53207	24927	17.1248793047956
WASP0039153	7016	237192	170768	80795	24.3397947548461
WASP0039154	8515	242157	213973	98427	25.1289489136817
WASP0039155	1328	44642	22893	10558	17.2387048192771
WASP0039156	4304	115546	93222	44279	21.6593866171004
WASP0039157	1306	48015	24388	11344	18.6738131699847
WASP0039158	3316	116293	76640	31876	23.1121833534379
WASP0039159	2185	55694	51603	24385	23.6169336384439
WASP0039160	1766	45070	25396	11855	14.3805209513024
WASP0039161	427	13577	2827	1152	6.62060889929742
WASP0039162	2447	60638	51836	22756	21.1834899877401
WASP0039163	867	28053	10623	4685	12.2525951557093
WASP0039164	2466	66885	47067	22228	19.0863746958637
WASP0039165	1414	40801	34025	15572	24.0629420084866
WASP0039166	934	26077	17291	8057	18.5128479657388
WASP0039167	1404	47232	25198	11518	17.9472934472934
WASP0039168	1089	21123	21430	9804	19.6786042240588
WASP0039169	1484	36466	25434	11789	17.1388140161725
WASP0039170	705	52391	6207	2623	8.80425531914894
WASP0039171	2931	81885	74254	35513	25.3340156943023
WASP0039172	263	4803	2192	942	8.33460076045627
WASP0039173	3336	85377	75623	35821	22.6687649880096
WASP0039174	1446	36746	26114	12284	18.0594744121715
WASP0039175	1784	42048	41223	19021	23.1070627802691
WASP0039176	1584	27340	20942	9580	13.2209595959596
WASP0039177	3886	115878	108544	51666	27.9320638188369
WASP0039178	2162	70978	45567	21408	21.0763182238668
WASP0039179	587	23018	3838	1594	6.53833049403748
WASP0039180	1263	34460	30945	14759	24.5011876484561
WASP0039181	1036	22812	21460	9946	20.7142857142857
WASP0039182	1040	19747	18458	8528	17.7480769230769
WASP0039183	506	10627	4487	2020	8.86758893280632
WASP0039184	2204	59349	49297	21648	22.3670598911071
WASP0039185	1252	36718	31945	14092	25.5151757188498
WASP0039186	628	20084	12932	5992	20.5923566878981
WASP0039187	333	5877	1992	794	5.98198198198198
WASP0039188	2162	57808	51540	24519	23.8390379278446
WASP0039189	1346	33222	33091	15475	24.5846953937593
WASP0039190	1443	39872	35892	16631	24.8731808731809
WASP0039191	599	7798	3517	1527	5.87145242070117
WASP0039192	3470	76838	68661	32329	19.7870317002882
WASP0039193	925	66788	16788	7516	18.1491891891892
WASP0039194	4811	183474	102193	47462	21.2415298274787
WASP0039195	2012	65962	44741	20407	22.2370775347913
WASP0039196	1951	109580	15674	6456	8.03382880574065
WASP0039197	2066	122761	45399	20749	21.9743465634076
WASP0039198	3165	112699	85986	40529	27.1677725118483
WASP0039199	2048	95625	39817	17372	19.44189453125
WASP0039201	616	11843	5550	2218	9.00974025974026
WASP0039202	3962	149332	103513	48413	26.1264512872287
WASP0039203	1318	46496	14335	6162	10.8763277693475
WASP0039204	1167	44708	11656	4910	9.98800342759212
WASP0039205	2278	468176	45500	18787	19.9736611062335
WASP0039206	3193	230740	63113	28938	19.766050735985
WASP0039207	3088	177509	62171	28039	20.1330958549223
WASP0039208	1816	141228	22170	9711	12.2081497797357
WASP0039209	623	15512	8521	3664	13.677367576244
WASP0039210	1979	117317	34770	15495	17.5694795351187
WASP0039211	1614	105553	23472	10309	14.542750929368
WASP0039212	1775	67007	41665	19455	23.4732394366197
WASP0039213	4252	179873	102992	48367	24.2220131702728
WASP0039214	6293	192969	187073	87793	29.7271571587478
WASP0039215	586	14359	4514	1908	7.70307167235495
WASP0039216	2939	128540	71150	33173	24.2089145968016
WASP0039217	5047	161792	136458	63492	27.0374479889043
WASP0039218	3238	104407	78856	37381	24.3533045089561
WASP0039219	3100	89657	81681	38032	26.3487096774194
WASP0039220	4381	143222	111080	52486	25.3549417941109
WASP0039221	2807	144325	69389	29546	24.7199857499109
WASP0039222	4207	141963	116866	55268	27.7789398621345
WASP0039223	2838	123386	61674	28363	21.7315010570825
WASP0039224	1854	205083	43255	19369	23.3306364617044
WASP0039225	7425	263632	189965	89767	25.5845117845118
WASP0039226	2241	68385	59279	27625	26.4520303435966
WASP0039227	1162	35670	13739	5869	11.8235800344234
WASP0039228	2018	59810	48066	22706	23.8186323092171
WASP0039229	2231	513339	51123	21737	22.9148363962349
WASP0039230	1780	98517	37600	15940	21.123595505618
WASP0039231	1348	97299	11301	4414	8.38353115727003
WASP0039232	7590	226079	235680	88791	31.0513833992095
WASP0039233	2275	69012	56624	26491	24.8896703296703
WASP0039234	3235	244518	73869	32564	22.8343122102009
WASP0039235	4027	142756	127682	58847	31.706481251552
WASP0039236	2027	62341	50070	23463	24.7015293537247
WASP0039237	1757	76936	35255	16329	20.065452475811
WASP0039238	5684	248460	159000	63998	27.9732582688248
WASP0039239	2611	105913	57674	24513	22.088854844887
WASP0039240	3522	130765	76339	33482	21.6749006246451
WASP0039241	925	23239	10662	4580	11.5264864864865
WASP0039242	777	34230	6768	2789	8.71042471042471
WASP0039243	2042	89355	39368	18387	19.2791380999021
WASP0039244	464	14385	5631	2285	12.135775862069
WASP0039245	1623	316056	33940	14623	20.9118915588417
WASP0039246	3257	108273	101714	43975	31.2293521645686
WASP0039247	1975	52350	49188	22219	24.9053164556962
WASP0039248	2395	68653	47918	21941	20.00751565762
WASP0039249	9601	332971	278882	130367	29.0471825851474
WASP0039250	1832	74228	38206	17559	20.8548034934498
WASP0039251	1738	58105	39195	18259	22.5517836593786
WASP0039252	2436	84591	65836	31140	27.0262725779967
WASP0039253	701	23078	5201	2157	7.41940085592011
WASP0039255	2525	116460	61800	26585	24.4752475247525
WASP0039256	1915	75929	21257	9045	11.1002610966057
WASP0039257	677	16269	12582	5774	18.5849335302807
WASP0039258	2826	130923	53116	23961	18.7954706298655
WASP0039259	2228	79103	65091	29378	29.2149910233393
WASP0039260	689	19335	9437	4210	13.6966618287373
WASP0039261	1936	62541	45928	20611	23.7231404958678
WASP0039262	1625	56821	33293	15135	20.488
WASP0039263	3155	86909	93923	35630	29.7695721077655
WASP0039264	1664	46574	34804	15768	20.9158653846154
WASP0039265	560	20643	9150	3950	16.3392857142857
WASP0039266	2440	109554	51566	24174	21.1336065573771
WASP0039267	775	24477	9911	4188	12.7883870967742
WASP0039268	2547	84875	72940	33900	28.6376128778956
WASP0039269	1204	282248	22737	9616	18.8845514950166
WASP0039270	1469	64393	32816	15219	22.3390061266167
WASP0039271	1599	63717	37913	17742	23.7104440275172
WASP0039272	1096	16163	8425	3382	7.68704379562044
WASP0039273	779	38689	13496	5782	17.3247753530167
WASP0039274	481	35879	5236	2044	10.8856548856549
WASP0039275	835	29185	13179	5332	15.7832335329341
WASP0039276	1807	172622	39568	17918	21.8970669618152
WASP0039277	1888	279150	49813	22549	26.3840042372881
WASP0039278	1654	59962	37142	17296	22.4558645707376
WASP0039279	1915	67582	60885	28349	31.7937336814621
WASP0039280	918	138669	16203	7024	17.6503267973856
WASP0039281	708	20157	12993	5591	18.3516949152542
WASP0039282	1004	361095	20433	8006	20.351593625498
WASP0039283	951	104574	14990	6326	15.7623554153523
WASP0039284	1915	53873	45453	21223	23.7352480417755
WASP0039285	2590	248102	62922	28547	24.2942084942085
WASP0039286	617	12494	8175	3607	13.2495948136143
WASP0039287	788	39952	9968	4389	12.6497461928934
WASP0039288	1302	40179	43465	20098	33.3832565284178
WASP0039289	4329	163751	114827	53297	26.5250635250635
WASP0039290	922	34314	10890	4675	11.8112798264642
WASP0039291	2185	94029	43656	18740	19.9798627002288
WASP0039292	1605	79301	28772	13089	17.9264797507788
WASP0039293	1465	73345	24233	10778	16.5412969283276
WASP0039294	919	24056	11243	4871	12.233949945593
WASP0039295	556	13063	3073	1249	5.52697841726619
WASP0039296	261	7279	2797	1158	10.7164750957854
WASP0039297	3063	112486	83465	39438	27.2494286647078
WASP0039298	6116	217346	122988	57446	20.1092217135383
WASP0039299	2781	118351	50611	22293	18.1988493347717
WASP0039300	2162	67981	46851	21815	21.6702127659575
WASP0039301	2844	140313	52824	22720	18.5738396624473
WASP0039302	2157	73320	46334	20898	21.4807603152527
WASP0039303	918	21554	9632	4253	10.4923747276688
WASP0039304	3881	133257	90180	40821	23.2362793094563
WASP0039305	2339	70918	44070	20791	18.8413852073536
WASP0039306	3498	124403	77745	36637	22.2255574614065
WASP0039307	6138	190139	158488	74592	25.820788530466
WASP0039308	2056	104982	28773	12587	13.9946498054475
WASP0039309	1637	52497	33664	15640	20.564447159438
WASP0039310	1376	46634	18679	8273	13.5748546511628
WASP0039311	3614	111771	98487	38888	27.2515218594355
WASP0039312	1175	26029	9754	4205	8.30127659574468
WASP0039313	2020	60246	46184	21630	22.8633663366337
WASP0039314	2651	90281	61340	25933	23.1384383251603
WASP0039315	1579	57871	25811	11811	16.3464217859405
WASP0039316	1824	40694	13979	6047	7.66392543859649
WASP0039317	2901	94435	66094	30915	22.7831782144088
WASP0039318	4757	154295	115287	54329	24.2352322892579
WASP0039319	2107	65781	45540	20882	21.6136687233033
WASP0039320	4080	98791	95162	45168	23.3240196078431
WASP0039321	3255	126989	76242	35770	23.4230414746544
WASP0039322	2464	85397	56862	23514	23.0771103896104
WASP0039323	938	25414	12980	5861	13.8379530916844
WASP0039324	7622	205965	201212	95104	26.3988454473891
WASP0039325	8167	220780	183130	86034	22.4231664013714
WASP0039326	3302	93014	67020	31312	20.2967898243489
WASP0039327	1760	50460	33211	15100	18.8698863636364
WASP0039328	1987	56127	43159	20138	21.720684448918
WASP0039329	1964	61399	44704	20372	22.7617107942974
WASP0039330	1567	48549	37315	16873	23.8130185067007
WASP0039331	2785	104926	72412	29984	26.0007181328546
WASP0039332	588	16889	5740	2295	9.76190476190476
WASP0039333	2534	79200	77153	34668	30.4471191791634
WASP0039334	510	9572	3515	1297	6.8921568627451
WASP0039335	1548	48386	34291	15622	22.1518087855297
WASP0039336	2421	74931	58420	27268	24.1305245766212
WASP0039337	2374	75337	48310	22569	20.3496208930076
WASP0039338	1659	51110	20532	8907	12.376130198915
WASP0039339	915	20828	13447	6206	14.696174863388
WASP0039340	1845	65893	44802	21061	24.2829268292683
WASP0039341	1683	60571	38735	17979	23.0154486036839
WASP0039342	1204	28735	21081	9544	17.5091362126246
WASP0039343	1786	44865	40916	18516	22.9092945128779
WASP0039344	3109	64075	57965	26544	18.6442586040528
WASP0039345	2072	73702	41597	19180	20.0757722007722
WASP0039346	1910	65706	52391	24327	27.4298429319372
WASP0039347	2833	105072	60873	28091	21.4871161313096
WASP0039348	1813	46834	32729	15022	18.0523993381136
WASP0039349	1169	50506	28902	12426	24.7236954662104
WASP0039350	2833	133249	65022	30081	22.9516413695729
WASP0039351	3039	89726	86565	33805	28.4846989141165
WASP0039352	4591	114435	124600	57976	27.1400566325419
WASP0039353	950	26252	6354	2792	6.68842105263158
WASP0039354	2057	73863	40967	18916	19.9158969372873
WASP0039355	1028	22432	10462	4486	10.1770428015564
WASP0039356	2829	67029	59177	27634	20.9179922234005
WASP0039357	1487	38456	32468	14969	21.8345662407532
WASP0039358	1459	47919	35193	14957	24.1213159698424
WASP0039359	515	14451	5880	2510	11.4174757281553
WASP0039360	1711	46229	40420	18333	23.6236119228521
WASP0039361	3710	101690	99918	44997	26.9320754716981
WASP0039362	1011	70438	16514	7196	16.3343224530168
WASP0039363	1397	50848	28301	12798	20.2584108804581
WASP0039364	1005	29354	19325	8820	19.228855721393
WASP0039365	2183	83620	47360	20296	21.6949152542373
WASP0039366	1024	32418	22450	10281	21.923828125
WASP0039367	3189	100636	89219	35045	27.9771088115397
WASP0039368	5021	117733	135195	50677	26.9259111730731
WASP0039369	718	20969	7449	3312	10.374651810585
WASP0039370	2209	84033	51656	24075	23.3843368039837
WASP0039371	2586	77254	66729	31731	25.8039443155452
WASP0039373	882	22828	19276	8772	21.8548752834467
WASP0039374	2218	52406	49393	23157	22.2691614066727
WASP0039375	1072	27203	23179	10633	21.6222014925373
WASP0039376	1294	34736	30320	13736	23.4312210200927
WASP0039377	579	37350	9464	3932	16.3454231433506
WASP0039378	412	28760	5140	1974	12.4757281553398
WASP0039379	742	22434	17283	7977	23.2924528301887
WASP0039380	997	23627	15480	6995	15.5265797392177
WASP0039381	564	16713	8712	3489	15.4468085106383
WASP0039382	551	9956	6099	2565	11.0689655172414
WASP0039383	2806	78036	92859	44320	33.0930149679259
WASP0039384	2935	76934	67533	31269	23.0095400340716
WASP0040001	858	58450	12535	5454	14.6095571095571
WASP0040002	2283	98312	48340	20781	21.173893999124
WASP0040003	1473	51202	25946	11496	17.6143923964698
WASP0040004	4385	187232	129857	60728	29.6139110604333
WASP0040005	350	41023	4814	1976	13.7542857142857
WASP0040006	473	12403	5353	2079	11.3171247357294
WASP0040007	723	24867	8791	3553	12.1590594744122
WASP0040009	1553	63957	42861	19913	27.5988409529942
WASP0040010	1253	51142	19458	8616	15.5291300877893
WASP0040011	2170	78892	49220	22734	22.6820276497696
WASP0040012	3542	146809	72615	26189	20.5011293054771
WASP0040013	2983	289164	49530	21955	16.6040898424405
WASP0040014	2569	156178	55651	25501	21.6625145971195
WASP0040015	2463	117834	52061	21411	21.1372310190824
WASP0040016	642	40075	4276	1689	6.66043613707165
WASP0040017	1911	74620	50143	21009	26.2391418105704
WASP0040018	4678	247012	108499	41915	23.1934587430526
WASP0040019	3304	159622	83164	38572	25.1707021791768
WASP0040020	1306	35281	20217	9025	15.4800918836141
WASP0040021	2626	82367	54479	25223	20.7460015232292
WASP0040022	1927	59350	35015	16000	18.1707317073171
WASP0040023	932	32976	20515	9402	22.0118025751073
WASP0040024	1263	50514	26202	11858	20.7458432304038
WASP0040025	1926	70121	52037	22262	27.0181723779855
WASP0040026	1596	56967	38719	17899	24.2600250626566
WASP0040027	1172	42560	21479	9827	18.3267918088737
WASP0040028	1668	73387	36198	15698	21.7014388489209
WASP0040029	1069	54478	10383	4402	9.71281571562208
WASP0040030	2068	122625	42476	19253	20.5396518375242
WASP0040031	906	31109	10204	4453	11.2626931567329
WASP0040032	789	81901	11968	5205	15.1685678073511
WASP0040033	1083	29177	10508	4521	9.70267774699908
WASP0040034	1104	46289	19639	9032	17.7889492753623
WASP0040035	3600	140055	112865	41052	31.3513888888889
WASP0040036	1362	46366	37323	17450	27.4030837004405
WASP0040037	1012	193226	19487	7998	19.2559288537549
WASP0040038	915	35951	6452	2584	7.05136612021858
WASP0040039	3240	129032	56664	26152	17.4888888888889
WASP0040040	1867	77945	38500	17620	20.6213176218532
WASP0040041	1099	34778	13145	5802	11.9608735213831
WASP0040042	1394	106266	24785	10950	17.7797704447633
WASP0040043	665	23614	6789	2639	10.209022556391
WASP0040044	690	20623	6457	2531	9.35797101449275
WASP0040045	1289	57489	20661	9393	16.0287044220326
WASP0040046	1536	76503	35028	16128	22.8046875
WASP0040047	3148	113938	73614	34405	23.3843710292249
WASP0040048	1781	71729	31728	14070	17.8147108366086
WASP0040049	2181	74963	50326	23457	23.0747363594681
WASP0040050	1037	41254	17020	7605	16.4127290260366
WASP0040051	1326	50749	24752	11332	18.6666666666667
WASP0040052	973	14719	7524	3208	7.7327852004111
WASP0040053	1338	213035	15813	6514	11.8183856502242
WASP0040054	1391	54591	39561	18534	28.4406901509705
WASP0040055	3485	114741	76753	35903	22.0238163558106
WASP0040056	3130	122322	89254	41473	28.5156549520767
WASP0040057	2319	97867	71454	33026	30.8124191461837
WASP0040058	1123	37478	21322	9642	18.986642920748
WASP0040059	1345	39260	17679	7776	13.1442379182156
WASP0040060	1909	66708	64465	28924	33.7689889994762
WASP0040061	1937	81910	44182	20524	22.8094992256066
WASP0040062	659	15942	4917	2023	7.46130500758725
WASP0040063	1570	41778	24470	11286	15.5859872611465
WASP0040064	4489	149083	118446	42281	26.3858320338606
WASP0040065	1586	55859	41441	19476	26.1292559899117
WASP0040066	4022	161304	99340	39824	24.6991546494282
WASP0040067	2105	103106	51184	22599	24.3154394299287
WASP0040068	1063	39941	24960	11671	23.480714957667
WASP0040069	1362	39302	24791	11339	18.2019089574156
WASP0040070	3094	99081	88573	32823	28.6273432449903
WASP0040071	3243	90000	109338	51244	33.7150786308973
WASP0040072	2019	79536	64177	29936	31.7865279841506
WASP0040073	553	18491	10378	4320	18.7667269439421
WASP0040074	1165	35603	17924	8136	15.3854077253219
WASP0040075	1812	55552	43724	17883	24.1302428256071
WASP0040076	1211	46260	37312	17577	30.8109000825764
WASP0040077	681	171189	8512	3203	12.4992657856094
WASP0040078	1333	55674	26207	11574	19.6601650412603
WASP0040079	1545	55316	39542	18417	25.5935275080906
WASP0040080	3045	102487	98796	33699	32.4453201970443
WASP0040081	943	22651	9986	4177	10.5896076352068
WASP0040082	1002	37926	12372	5429	12.3473053892216
WASP0040083	1698	69032	46640	18632	27.4676089517079
WASP0040084	1803	92574	27791	12388	15.4137548530227
WASP0040085	1149	169944	16205	6749	14.1035683202785
WASP0040086	2441	123256	62948	28200	25.7877918885703
WASP0040087	702	15616	6166	2621	8.78347578347578
WASP0040088	696	79167	5928	2300	8.51724137931035
WASP0040089	503	9933	5606	2157	11.1451292246521
WASP0040090	660	137727	11932	4753	18.0787878787879
WASP0040091	1178	57061	21583	9674	18.3217317487267
WASP0040092	929	28703	19417	8942	20.9009687836383
WASP0040093	1750	126543	45425	21006	25.9571428571429
WASP0040094	1684	56741	54855	25584	32.5742280285036
WASP0040095	1652	65151	44225	20058	26.7705811138015
WASP0040096	495	10368	4926	2084	9.95151515151515
WASP0040097	1756	49021	37439	17387	21.3206150341686
WASP0040098	1237	58378	8579	3187	6.93532740501213
WASP0040099	696	15456	5110	2099	7.34195402298851
WASP0040100	417	10381	4562	1767	10.9400479616307
WASP0040101	782	14646	7139	2843	9.12915601023018
WASP0040102	2292	93576	57648	27063	25.151832460733
WASP0040103	718	17355	6135	2261	8.54456824512535
WASP0040105	669	20042	8007	3459	11.9686098654709
WASP0040106	8061	386671	178826	83010	22.184096265972
WASP0040107	4541	205699	99062	45769	21.815018718344
WASP0040108	2499	123983	57819	26545	23.1368547418968
WASP0040109	1665	78718	24981	11058	15.0036036036036
WASP0040110	1074	37598	18936	8538	17.6312849162011
WASP0040111	2137	88451	46344	21237	21.6864763687412
WASP0040112	2150	67041	43149	19895	20.0693023255814
WASP0040113	5654	331515	140313	64800	24.8165900247612
WASP0040114	5508	274373	160317	72231	29.1062091503268
WASP0040115	1941	67648	42147	18946	21.7140649149923
WASP0040116	2425	85546	61374	23705	25.3088659793814
WASP0040117	845	36956	10931	4571	12.9360946745562
WASP0040118	2488	88906	56576	25973	22.7395498392283
WASP0040119	1276	31317	17125	7851	13.4208463949843
WASP0040120	3296	95847	87096	40715	26.4247572815534
WASP0040121	1706	63859	36938	17165	21.651817116061
WASP0040122	1536	47329	33843	15715	22.033203125
WASP0040123	2503	121374	55262	25322	22.0783060327607
WASP0040124	9597	421698	236060	109769	24.5972699802022
WASP0040125	2260	101886	48397	22464	21.4146017699115
WASP0040126	1939	65044	43499	19817	22.4337287261475
WASP0040127	1099	41138	15996	7213	14.5550500454959
WASP0040128	2032	55040	40922	18877	20.1387795275591
WASP0040129	3435	144031	96959	45370	28.2267831149927
WASP0040130	1079	38195	23547	10823	21.822984244671
WASP0040131	1659	53123	39660	17377	23.9059674502713
WASP0040132	5647	178031	171432	76982	30.3580662298566
WASP0040133	1650	45685	30481	13373	18.4733333333333
WASP0040134	3702	151322	89850	41793	24.2706645056726
