gene	tot	var	is_on_count	sz_cor	sz_cor_norm	niche_stat	niche_norm	n_mean	ds_top1	ds_top2	ds_top3	ds_mean	ds_var	ds_log_varmean	ds_vm_norm	ds_is_on_count	downsample_n	marker	log2_ds_mean
Hvul_g13608_1	232	0.0095596	27	0.104	0.009	1	0	0.001482	1	1	1	0.001169	0.0011677	-0.00118779667244554	0	27	750	no	-9.74050935479252
Hvul_g1361_1	1030	0.1270239	145	0.064	-0.13	1	0	0.0092791	4	3	3	0.0074469	0.0101628	0.428295819936131	0.406791293238886	145	750	yes	-7.0691443000772
Hvul_g13612_1	524	0.0267724	54	0.147	-0.00600000000000001	1	0	0.0028598	1	1	1	0.002338	0.0023326	-0.00283713137806382	0	54	750	no	-8.74050935479252
Hvul_g13619_1	238	0.0099638	29	0.087	-0.002	1	0	0.0017154	1	1	1	0.0012556	0.0012541	-0.00129935308138168	0	29	750	no	-9.63740735062942
Hvul_g13631_1	92	0.0038293	17	0.054	0	1	0	0.000909	1	1	1	0.000736	0.0007355	-0.000629241091363541	0	17	750	no	-10.4080066132672
Hvul_g13653_1	1952	0.0906984	215	0.306	0.044	1	0	0.0125806	2	2	2	0.0094385	0.0096096	0.0248474331449087	0	215	750	no	-6.72722668508672
Hvul_g13659_1	25	0.0010212	1	0.038	0.01	1	0	0.0001233	1	0	0	4.33e-05	4.33e-05	0	0	1	750	no	-14.4952734494848
Hvul_g13670_1	10587	0.7655176	1255	0.486	-0.028	0.823063131074833	-0.00458324348895189	0.0757003	3	2	2	0.0571936	0.0597267	0.0620860634531403	0.00519180501793187	1255	750	no	-4.1280024722264
Hvul_g13677_1	42	0.0017144	10	0.016	-0.015	1	0	0.0005732	1	1	1	0.000433	0.0004328	-0.000342062554171561	0	10	750	no	-11.1733453545975
Hvul_g13680_1	12	0.0005722	3	0.015	-0.005	1	0	0.0001053	1	1	1	0.0001299	0.0001299	0	0	3	750	no	-12.9103109487637
Hvul_g13692_1	309	0.0177085	39	0.11	0	1	0	0.0020755	1	1	1	0.0016885	0.0016858	-0.00185685947415866	-3.11314322513189e-05	39	750	no	-9.2100421053167
Hvul_g13693_1	11242	8.6014094	804	0.196	-0.328	1	0.183555904687091	0.0681386	13	8	8	0.0541629	0.1248373	1.19851353399881	1.13582938837176	804	750	yes	-4.20655120374935
Hvul_g13694_1	5832	0.4319157	628	0.494	0.073	1	0	0.0356414	2	2	2	0.0281422	0.0292565	0.0552316281026062	0.0105029526168253	628	750	no	-5.151121074952
Hvul_g13702_1	135	0.0099871	35	0.02	-0.042	1	0	0.0027522	3	2	2	0.0018617	0.0026377	0.423847206102403	0.426007474608059	35	750	no	-9.06916367330267
Hvul_g13711_1	1803	0.1022237	227	0.215	-0.046	1	0	0.0122394	2	2	2	0.0100446	0.0103771	0.0451665318918309	0.0227207486401	227	750	no	-6.63743607612727
Hvul_g13712_1	76	0.0034249	30	-0.021	-0.073	1	0	0.0024349	2	2	1	0.0013855	0.0015568	0.131420741289729	0.13294767751475	30	750	no	-9.49537757384276
Hvul_g13713_1	45	0.0023272	16	-0.009	-0.04	1	0	0.001283	2	2	2	0.0008226	0.0010818	0.275221979253742	0.275924062201337	16	750	no	-10.2475213077112
Hvul_g13714_1	14	0.0005721	3	0.022	0.000999999999999997	1	0	9.65e-05	1	1	1	0.0001299	0.0001299	0	0	3	750	no	-12.9103109487637
Hvul_g13715_1	33	0.0014293	4	0.038	0.002	1	0	0.000237	1	1	1	0.0001732	0.0001732	0	0	4	750	no	-12.4952734494848
