gene	tot	var	is_on_count	sz_cor	sz_cor_norm	niche_stat	niche_norm	n_mean	ds_top1	ds_top2	ds_top3	ds_mean	ds_var	ds_log_varmean	ds_vm_norm	ds_is_on_count	downsample_n	marker	log2_ds_mean
Xesp_011240	222	0.0093411	54	0.106	0.021	1	0	0.0049967	2	1	1	0.0032985	0.0034078	0.0420655128463692	0	54	750	no	-8.24397417974805
Xesp_011241	301	0.0124818	74	0.116	0.016	1	0	0.0068455	1	1	1	0.004438	0.0044186	-0.00580187823485857	-0.0360067171816163	74	750	no	-7.81587461712716
Xesp_011242	12294	1.8442871	2549	0.348	-0.037	0.971147594278283	0.0973892107143137	0.269239	7	7	7	0.2222622	0.3838719	0.787282510154395	0.355131222381418	2549	750	yes	-2.16966548394736
Xesp_011243	37146	6.471898	6860	0.594	0.022	0.742571859188287	-0.00765873057895272	0.7847434	8	8	7	0.6637879	0.9872965	0.572479409020532	-0.12387040309553	6860	750	no	-0.591205763707214
Xesp_011244	679	0.0310549	176	0.199	0.053	1	0	0.0117001	2	2	2	0.0108552	0.0113378	0.0605929530256201	0.000473837371958018	176	750	no	-6.52546988285897
Xesp_011245	16387	1.6903378	3949	0.349	-0.082	0.784350795877295	-0.0133624846855902	0.4495961	6	6	6	0.327336	0.476303	0.540562451639017	0.118826453306869	3949	750	yes	-1.611155818
Xesp_011251	131	0.0139423	36	0.018	-0.045	1	0	0.0041946	2	2	2	0.0025189	0.0032324	0.315915297559737	0.318900191372652	36	750	no	-8.63299043625718
orphan_peak_6517	302	0.0164777	98	0.085	-0.015	1	0	0.0071733	2	2	2	0.0061173	0.0065601	0.0948940767442079	0.0506356250225198	98	750	no	-7.35288925529243
Xesp_011252	150	0.006613	44	0.019	-0.054	1	0	0.0062986	1	1	1	0.0026388	0.002632	-0.0032365466050711	-0.0548893574337192	44	750	no	-8.56590227463541
Xesp_011253	1738	0.0998207	454	0.184	-0.034	1	0	0.0494808	5	4	3	0.0307065	0.038642	0.327851324222576	0.240002345568283	454	750	no	-5.02531210990657
Xesp_011254	346	0.0144544	95	0.11	0.003	1	0	0.0080647	2	1	1	0.0057575	0.0058446	0.0202784675893849	-0.0274793820070908	95	750	no	-7.44034177864397
Xesp_011255	245	0.0100762	64	0.123	0.029	1	0	0.0049089	2	1	1	0.0038983	0.0040033	0.0348533258611374	0	64	750	no	-8.00293916485692
Xesp_011256	743	0.0315455	203	0.141	-0.013	1	0	0.0206798	2	2	2	0.0124145	0.012741	0.0363098800816104	-0.0142850348831335	203	750	no	-6.33183003233138
